power, vel
-0.82, -305.215
-0.82, -309.107
-0.8, -318.332
-0.8, -301.693
-0.8, -304.345
-0.8, -311.709
-0.8, -299.525
-0.8, -298.619
-0.8, -311.563
-0.8, -300.03
-0.8, -296.659
-0.8, -303.272
-0.8, -296.461
-0.8, -298.519
-0.8, -290.803
-0.8, -305.705
-0.8, -304.032
-0.8, -295.083
-0.8, -296
-0.8, -304.24
-0.8, -294.334
-0.8, -296.758
-0.8, -298.352
-0.8, -294.302
-0.8, -299.424
-0.8, -289.572
-0.8, -305.46
-0.8, -303.928
-0.8, -293.395
-0.8, -298.485
-0.8, -301.898
-0.8, -302.515
-0.8, -294.139
-0.8, -294.855
-0.8, -301.012
-0.8, -300.469
-0.8, -293.88
-0.8, -306.619
-0.8, -303.998
-0.8, -297.885
-0.8, -299.323
-0.8, -302.789
-0.8, -295.148
-0.8, -292.944
-0.8, -298.786
-0.8, -297.586
-0.8, -297.852
-0.8, -302.412
-0.8, -304.727
-0.8, -304.797
-0.8, -301.08
-0.8, -301.08
-0.8, -299.693
-0.78, -288.538
-0.78, -297.952
-0.78, -298.418
-0.78, -303.237
-0.78, -294.01
-0.78, -290.708
-0.78, -299.424
-0.78, -294.01
-0.78, -289.666
-0.78, -282.068
-0.78, -289.195
-0.78, -294.627
-0.78, -292.654
-0.78, -287.573
-0.78, -286.338
-0.78, -292.847
-0.78, -297.719
-0.78, -287.449
-0.78, -295.705
-0.78, -300.91
-0.78, -287.418
-0.78, -282.426
-0.78, -281.561
-0.78, -292.59
-0.78, -297.155
-0.78, -291.248
-0.78, -292.045
-0.78, -291.375
-0.78, -294.01
-0.78, -287.171
-0.78, -289.352
-0.78, -297.885
-0.78, -293.815
-0.78, -287.387
-0.78, -286.461
-0.78, -294.042
-0.78, -292.719
-0.78, -292.077
-0.78, -295.508
-0.78, -290.139
-0.78, -294.497
-0.78, -289.666
-0.78, -283.597
-0.78, -284.051
-0.78, -293.783
-0.78, -300.944
-0.78, -292.398
-0.78, -284.535
-0.78, -293.524
-0.78, -294.529
-0.78, -287.542
-0.76, -283.839
-0.76, -294.237
-0.76, -289.887
-0.76, -295.214
-0.76, -281.978
-0.76, -280.377
-0.76, -294.172
-0.76, -285.571
-0.76, -281.532
-0.76, -279.466
-0.76, -285.388
-0.76, -283.809
-0.76, -279.086
-0.76, -281.71
-0.76, -286
-0.76, -284.02
-0.76, -282.366
-0.76, -289.698
-0.76, -280.731
-0.76, -287.884
-0.76, -276.081
-0.76, -287.697
-0.76, -277.171
-0.76, -277.518
-0.76, -282.845
-0.76, -287.759
-0.76, -284.961
-0.76, -281.442
-0.76, -290.645
-0.76, -281.799
-0.76, -284.839
-0.76, -280.23
-0.76, -285.174
-0.76, -277.114
-0.76, -277.633
-0.76, -286.43
-0.76, -292.045
-0.76, -278.882
-0.76, -282.456
-0.76, -291.121
-0.76, -283.326
-0.76, -281.294
-0.76, -279.994
-0.76, -277.98
-0.76, -285.694
-0.76, -279.232
-0.76, -294.855
-0.76, -282.695
-0.76, -281.621
-0.76, -289.415
-0.76, -293.848
-0.74, -280.289
-0.74, -277.114
-0.74, -274.801
-0.74, -280.761
-0.74, -277.951
-0.74, -286.092
-0.74, -276.97
-0.74, -273.392
-0.74, -273.112
-0.74, -279.028
-0.74, -287.233
-0.74, -277.143
-0.74, -273.308
-0.74, -275.853
-0.74, -276.195
-0.74, -274.348
-0.74, -276.253
-0.74, -276.74
-0.74, -275.34
-0.74, -270.92
-0.74, -280.731
-0.74, -271.638
-0.74, -272.081
-0.74, -271.361
-0.74, -266.294
-0.74, -277.287
-0.74, -266.88
-0.74, -283.056
-0.74, -273.673
-0.74, -280.495
-0.74, -276.97
-0.74, -274.207
-0.74, -285.266
-0.74, -273.869
-0.74, -274.179
-0.74, -275.71
-0.74, -267.415
-0.74, -279.32
-0.74, -272.582
-0.74, -285.144
-0.74, -272.442
-0.74, -277.402
-0.74, -279.554
-0.74, -273.869
-0.74, -282.306
-0.74, -275.539
-0.74, -266.347
-0.74, -277.546
-0.74, -267.281
-0.74, -279.994
-0.74, -276.884
-0.72, -280.613
-0.72, -271.003
-0.72, -275.198
-0.72, -272.331
-0.72, -264.918
-0.72, -278.94
-0.72, -258.523
-0.72, -268.655
-0.72, -258.799
-0.72, -268.79
-0.72, -267.711
-0.72, -265.472
-0.72, -274.914
-0.72, -266.214
-0.72, -280.495
-0.72, -265.472
-0.72, -270.7
-0.72, -254.842
-0.72, -266.693
-0.72, -267.121
-0.72, -268.276
-0.72, -262.08
-0.72, -264.813
-0.72, -274.01
-0.72, -263.817
-0.72, -269.034
-0.72, -268.899
-0.72, -267.442
-0.72, -266.453
-0.72, -270.865
-0.72, -263.791
-0.72, -266.002
-0.72, -270.097
-0.72, -262.158
-0.72, -267.148
-0.72, -271.527
-0.72, -275.567
-0.72, -265.896
-0.72, -273.364
-0.72, -261.617
-0.72, -267.523
-0.72, -265.287
-0.72, -267.442
-0.72, -268.411
-0.72, -268.98
-0.72, -268.411
-0.72, -264.629
-0.72, -274.688
-0.72, -271.416
-0.72, -264.971
-0.72, -267.791
-0.7, -268.655
-0.7, -269.415
-0.7, -259.884
-0.7, -258.148
-0.7, -256.189
-0.7, -264.183
-0.7, -264.288
-0.7, -260.952
-0.7, -264.997
-0.7, -261.54
-0.7, -252.693
-0.7, -258.573
-0.7, -259.025
-0.7, -251.691
-0.7, -252.621
-0.7, -273.252
-0.7, -260.748
-0.7, -259.378
-0.7, -259.757
-0.7, -261.233
-0.7, -252.741
-0.7, -260.163
-0.7, -258.824
-0.7, -250.579
-0.7, -252.549
-0.7, -257.326
-0.7, -259.884
-0.7, -257.475
-0.7, -267.201
-0.7, -256.88
-0.7, -254.041
-0.7, -259.96
-0.7, -262.596
-0.7, -250.133
-0.7, -258.774
-0.7, -257.425
-0.7, -256.608
-0.7, -259.076
-0.7, -261.643
-0.7, -262.907
-0.7, -259.909
-0.7, -255.697
-0.7, -258.498
-0.7, -256.115
-0.7, -258.323
-0.7, -256.262
-0.7, -250.438
-0.7, -259.076
-0.7, -264.603
-0.7, -257.375
-0.7, -252.024
-0.68, -255.943
-0.68, -255.722
-0.68, -250.556
-0.68, -253.413
-0.68, -257.351
-0.68, -251.335
-0.68, -245.527
-0.68, -244.379
-0.68, -247.601
-0.68, -250.156
-0.68, -257.276
-0.68, -254.769
-0.68, -247.395
-0.68, -247.028
-0.68, -246.526
-0.68, -248.039
-0.68, -255.501
-0.68, -250.462
-0.68, -241.962
-0.68, -246.868
-0.68, -246.617
-0.68, -249.828
-0.68, -253.944
-0.68, -248.779
-0.68, -254.453
-0.68, -246.298
-0.68, -252.072
-0.68, -259.555
-0.68, -259.051
-0.68, -246.366
-0.68, -244.178
-0.68, -242.424
-0.68, -246.731
-0.68, -255.894
-0.68, -255.894
-0.68, -249.431
-0.68, -249.618
-0.68, -249.758
-0.68, -247.601
-0.68, -248.571
-0.68, -251.24
-0.68, -256.855
-0.68, -245.617
-0.68, -246.936
-0.68, -246.776
-0.68, -250.579
-0.68, -258.473
-0.68, -248.826
-0.68, -248.085
-0.68, -245.459
-0.68, -252.119
-0.66, -253.197
-0.66, -250.933
-0.66, -242.888
-0.66, -249.314
-0.66, -236.995
-0.66, -236.469
-0.66, -238.585
-0.66, -242.866
-0.66, -244.469
-0.66, -238.927
-0.66, -243.576
-0.66, -242.512
-0.66, -242.49
-0.66, -241.633
-0.66, -249.105
-0.66, -240.565
-0.66, -246.093
-0.66, -244.85
-0.66, -245.211
-0.66, -248.779
-0.66, -248.594
-0.66, -248.756
-0.66, -244.895
-0.66, -245.166
-0.66, -245.278
-0.66, -242.799
-0.66, -238.735
-0.66, -240.63
-0.66, -240.457
-0.66, -236.805
-0.66, -237.311
-0.66, -238.031
-0.66, -239.571
-0.66, -236.89
-0.66, -237.438
-0.66, -242.954
-0.66, -242.27
-0.66, -242.446
-0.66, -240.522
-0.66, -237.417
-0.66, -238.607
-0.66, -243.109
-0.66, -237.756
-0.66, -243.687
-0.66, -240.046
-0.66, -252.549
-0.66, -240.63
-0.66, -240.522
-0.66, -255.55
-0.66, -253.872
-0.66, -243.91
-0.64, -248.362
-0.64, -241.765
-0.64, -240.5
-0.64, -233.243
-0.64, -241.831
-0.64, -235.446
-0.64, -230.98
-0.64, -234.68
-0.64, -230.064
-0.64, -230.72
-0.64, -230.78
-0.64, -230.302
-0.64, -233.918
-0.64, -231.401
-0.64, -235.571
-0.64, -236.574
-0.64, -236.051
-0.64, -227.008
-0.64, -229.845
-0.64, -232.025
-0.64, -232.288
-0.64, -239.873
-0.64, -236.574
-0.64, -241.59
-0.64, -234.185
-0.64, -236.449
-0.64, -235.905
-0.64, -233.202
-0.64, -231.04
-0.64, -227.745
-0.64, -230.8
-0.64, -238.949
-0.64, -237.311
-0.64, -240.609
-0.64, -240.913
-0.64, -236.974
-0.64, -233.795
-0.64, -231.562
-0.64, -229.371
-0.64, -228.938
-0.64, -232.349
-0.64, -233.713
-0.64, -230.581
-0.64, -236.302
-0.64, -236.49
-0.64, -231.241
-0.64, -237.438
-0.64, -232.551
-0.64, -236.7
-0.64, -238.884
-0.64, -244.111
-0.62, -237.925
-0.62, -232.288
-0.62, -231.14
-0.62, -225.244
-0.62, -224.391
-0.62, -228.213
-0.62, -227.337
-0.62, -231.622
-0.62, -225.092
-0.62, -226.661
-0.62, -227.998
-0.62, -224.429
-0.62, -220.022
-0.62, -227.726
-0.62, -228.154
-0.62, -225.035
-0.62, -215.158
-0.62, -223.283
-0.62, -223.826
-0.62, -222.13
-0.62, -225.435
-0.62, -230.163
-0.62, -222.537
-0.62, -223.77
-0.62, -226.2
-0.62, -231.481
-0.62, -230.024
-0.62, -223.096
-0.62, -220.787
-0.62, -226.238
-0.62, -225.664
-0.62, -221.889
-0.62, -224.335
-0.62, -227.144
-0.62, -228.389
-0.62, -220.24
-0.62, -228.115
-0.62, -233.039
-0.62, -221.355
-0.62, -221.76
-0.62, -224.524
-0.62, -222.111
-0.62, -224.921
-0.62, -223.601
-0.62, -219.587
-0.62, -227.551
-0.62, -223.208
-0.62, -220.879
-0.62, -230.78
-0.62, -228.977
-0.62, -228.33
-0.6, -222.798
-0.6, -224.335
-0.6, -222.111
-0.6, -214.811
-0.6, -220.349
-0.6, -215.889
-0.6, -217.014
-0.6, -211.623
-0.6, -218.347
-0.6, -212.755
-0.6, -220.988
-0.6, -214.759
-0.6, -218.347
-0.6, -217.901
-0.6, -216.398
-0.6, -218.633
-0.6, -218.525
-0.6, -214.104
-0.6, -217.173
-0.6, -216.362
-0.6, -209.792
-0.6, -217.12
-0.6, -213.163
-0.6, -218.848
-0.6, -218.418
-0.6, -219.949
-0.6, -222.111
-0.6, -216.573
-0.6, -220.696
-0.6, -215.785
-0.6, -220.44
-0.6, -215.384
-0.6, -218.347
-0.6, -209.101
-0.6, -216.961
-0.6, -213.504
-0.6, -220.897
-0.6, -218.275
-0.6, -218.902
-0.6, -223.808
-0.6, -218.061
-0.6, -222.148
-0.6, -217.385
-0.6, -212.738
-0.6, -219.316
-0.6, -216.345
-0.6, -212.568
-0.6, -222
-0.6, -211.909
-0.6, -219.533
-0.6, -216.327
-0.58, -215.924
-0.58, -220.988
-0.58, -212.28
-0.58, -217.35
-0.58, -209.019
-0.58, -213.163
-0.58, -208.122
-0.58, -213.641
-0.58, -211.859
-0.58, -209.974
