power, vel
-0.76, -274.292
-0.76, -277.691
-0.76, -274.236
-0.76, -268.628
-0.76, -283.146
-0.76, -271.058
-0.76, -277.114
-0.76, -279.759
-0.76, -277.807
-0.76, -268.357
-0.76, -280.82
-0.76, -275.511
-0.76, -290.36
-0.76, -263.609
-0.76, -281.472
-0.76, -265.737
-0.74, -269.988
-0.74, -285.847
-0.74, -272.137
-0.74, -272.889
-0.74, -249.992
-0.74, -267.98
-0.74, -272.805
-0.74, -272.637
-0.74, -267.442
-0.74, -264
-0.74, -268.007
-0.74, -268.953
-0.74, -258.824
-0.74, -271.113
-0.74, -271.776
-0.74, -265.843
-0.74, -265.604
-0.74, -268.682
-0.74, -264.813
-0.74, -259.96
-0.74, -271.721
-0.74, -260.417
-0.74, -274.038
-0.74, -263.115
-0.74, -270.398
-0.74, -275.084
-0.74, -267.63
-0.74, -257.973
-0.74, -256.632
-0.74, -263.244
-0.74, -274.999
-0.74, -262.855
-0.74, -236.428
-0.74, -261.08
-0.74, -263.037
-0.74, -276.195
-0.74, -276.539
-0.74, -256.929
-0.74, -271.804
-0.74, -272.889
-0.74, -265.71
-0.74, -261.438
-0.74, -273.757
-0.74, -270.097
-0.74, -260.926
-0.74, -277.056
-0.74, -258.098
-0.74, -270.316
-0.74, -273.757
-0.74, -261.9
-0.74, -270.261
-0.72, -268.411
-0.72, -277.489
-0.72, -258.774
-0.72, -261.849
-0.72, -258.348
-0.72, -270.92
-0.72, -268.384
-0.72, -260.493
-0.72, -261.797
-0.72, -254.356
-0.72, -262.726
-0.72, -260.493
-0.72, -262.312
-0.72, -268.141
-0.72, -259
-0.72, -257.948
-0.72, -254.574
-0.72, -260.901
-0.72, -258.674
-0.72, -256.361
-0.72, -260.773
-0.72, -258.348
-0.72, -272.053
-0.72, -268.33
-0.72, -264.053
-0.72, -263.141
-0.72, -259.53
-0.72, -257.177
-0.72, -264.079
-0.72, -258.348
-0.72, -259.479
-0.72, -267.845
-0.72, -264.971
-0.72, -260.366
-0.72, -267.63
-0.72, -267.335
-0.72, -267.389
